funding_goal,collected_amount,avg_revenue,expenses,duration_months,success
92810,14141,8306,4946,6,1
64013,987,589,2871,12,1
22093,15942,5106,2584,6,0
67834,43821,3861,2810,24,1
13456,25102,6125,1831,29,1
70097,35575,1408,2956,35,1
60479,44805,5650,1897,8,0
87319,59886,6216,844,18,0
60967,65189,1750,3258,15,0
86378,77684,910,4859,11,1
47581,42462,9542,3794,35,1
54837,29755,5821,2386,35,1
68006,13180,4549,4313,10,0
30580,11107,9967,4632,8,1
27966,3754,4197,625,34,0
46776,13533,5754,602,30,1
44902,1207,1865,219,24,1
42797,9385,4088,1133,9,0
89084,18996,3993,4725,18,0
85178,42541,5808,3894,21,0
74105,57742,6455,3453,11,1
47951,47721,3181,3822,31,1
29678,6307,4368,4273,23,1
82246,68679,9820,3628,11,0
63042,67100,6293,4349,10,0
77412,35868,2925,2888,6,1
83357,50493,8355,3274,12,0
18153,40590,9359,1569,24,0
75445,13229,2894,4805,15,0
76553,3323,4636,3704,19,0
94005,59839,1523,4194,21,0
29142,41196,1886,1888,30,0
55064,4781,4065,571,22,0
90029,44455,7797,3130,25,1
60600,7852,5401,510,14,1
44385,65637,9633,760,21,0
65903,24683,4865,1425,9,1
68909,53871,2347,3693,11,1
21485,392,5119,250,6,1
14122,61234,2895,1558,12,0
47682,2849,3670,1174,13,1
30592,12085,7411,2367,30,1
16842,70802,8799,562,8,0
41772,73055,2168,828,35,1
32647,25902,6996,4823,9,0
62393,2548,5670,3614,9,1
83481,20873,6724,3576,25,1
81889,14773,1061,4680,16,0
20911,4085,9282,756,33,1
34766,9978,9994,1298,32,1
97593,76508,4869,2043,33,1
24595,76108,7107,3282,24,1
80217,32742,4297,2450,32,0
35842,15815,9284,3681,36,1
12250,22042,5913,4909,19,1
91858,34932,7301,3001,13,0
75289,69588,7485,529,34,1
64857,42832,3702,2103,9,1
72281,71899,8221,435,25,1
99350,1544,4592,2444,28,0
73219,47812,6284,2969,35,0
68626,10572,2576,1999,36,0
37335,79708,5999,507,23,0
37694,52087,1215,2692,12,1
91850,3112,8415,3080,35,1
14366,18982,4113,4997,27,1
67175,33878,2967,3644,16,1
93398,34095,1423,2367,34,0
23849,69872,2334,1616,21,1
24068,56011,4226,1236,34,1
76836,3399,2102,3846,36,1
19528,36239,5799,3531,29,0
89159,5363,3231,509,29,1
80126,26359,990,2093,34,0
15930,52975,3497,3730,32,0
20592,63440,9196,1391,26,1
49886,6560,4999,4825,9,0
56873,66512,6376,2226,18,0
83025,18086,7988,2007,21,1
65207,38748,1775,3629,26,1
37682,23471,3484,2143,18,1
86492,67352,6697,203,36,1
20969,76034,6361,3245,17,1
94852,62205,2245,3765,27,0
46142,11678,3354,905,32,0
30488,18604,7852,4092,33,1
39696,21885,5555,3485,12,1
91382,42142,4612,2191,11,0
19916,42347,8402,2561,33,0
12404,73962,6938,4342,9,0
20293,75678,4702,834,21,1
75962,78195,5211,3556,11,0
62304,77757,4204,1038,15,0
14944,4604,1420,1802,31,0
17236,32045,4205,841,10,1
66658,35699,1644,1157,7,0
66345,8576,9540,688,19,0
27703,49369,4271,1310,8,0
59805,37087,1306,3098,26,0
59608,58297,8441,2007,10,1
86828,16487,3613,2486,17,1
93452,2783,6511,2756,10,0
68078,2646,3987,636,17,0
96934,3084,3293,496,21,1
49886,68286,9760,614,32,1
73871,8293,2578,443,10,1
44271,940,6022,3382,35,0
20961,10106,1989,550,7,0
40378,53556,7503,4922,26,1
70600,79895,6730,2162,13,0
70030,39450,523,3456,23,1
70734,67184,8699,1525,22,1
56589,33551,5406,1626,11,0
84707,16400,2227,3964,22,1
32510,24993,6131,4727,23,0
74404,56415,5882,2479,28,1
